,text,favorite_count,retweet_count,created_at
103,RT @DocDellaire: New Job Posting at Dalhousie University @DalPathology @DalMedSchool @DalhousieU  - Assistant/Associate Professor &amp; Tier 2…,0,4,2023-01-05 20:17:22+00:00
104,RT @MatthewWielicki: The data is clear. There is NO evidence of a climate emergency or climate crisis. FOLLOW ME and share this post to spr…,0,2415,2023-01-05 20:17:13+00:00
105,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:16:56+00:00
106,"@7777rep Science, data &amp; reality; Here's where you can learn it (from scientists): https://t.co/io3nzx10AS https://t.co/cq3xjNtYpk https://t.co/N8bNpbKwm7  https://t.co/Go6khEOO18  https://t.co/D8TyuVSJHo https://t.co/glrNCQ7SH2 https://t.co/1w9hiVv6y3 https://t.co/JTOHuX03Bd 4/4",0,0,2023-01-05 20:16:53+00:00
107,"RT @ezekiel_aleke: AI SUBMERGE 2023 by @CovenworksAF:

This is a 1-year long hybrid Bootcamp for skills development in:

1. Artificial Inte…",0,116,2023-01-05 20:16:47+00:00
108,RT @gp_pulipaka: Essential Math for Data Science! #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #J…,0,217,2023-01-05 20:15:23+00:00
109,"Postdoctoral Research Fellow 
Global Water Data Science 
#dundeeuni #DundeeWater #hiring #dundee #postdoc #water #unesco
https://t.co/p91mh6EOC6",0,1,2023-01-05 20:14:48+00:00
110,"This #IT job might be a great fit for you. Click the link in our bio to see it and more. Executive Director, Data Science - Pricing Analytics at CVS Health #Wellesley, MA",0,0,2023-01-05 20:14:43+00:00
111,"@faridsabitov @DataChaz @GitHubCopilot In what way do you think CoPilot is better? Mulling over whether to get a subscription to CoPilot, my use cases are mostly data science related though.",0,0,2023-01-05 20:14:27+00:00
112,Research That's Using Data Science to Revolutionize Patient Care Highlighted in the January Issue of AACC's The Journal of Applied Laboratory Medicine https://t.co/cAQ3iB5B9Y,0,0,2023-01-05 20:14:16+00:00
113,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:14:10+00:00
114,"We offer Online class homework, assignment and exam expert help with

Development Studies
Critical and Creative Thinking
Object Oriented Programming I
Data Communication Technologies
Foundations of Artificial Intelligence SCO Linear Algebra for Computer Science
Calculus
Exam help",0,0,2023-01-05 20:14:00+00:00
115,"We offer Online class homework, assignment and exam expert help with

Object Oriented Programming II
Data Structures and Algorithms
Database Systems
Object Oriented Analysis and Design
Calculus II
Probability and Statistics for Computer Science
Online class homework Exam help",0,0,2023-01-05 20:13:59+00:00
116,Data Science and Analysis Tools - from Jupyter to R Markdown #DataScience https://t.co/1U4oKWBipN,0,0,2023-01-05 20:13:57+00:00
117,"The annual #WiDSDatathon 2023 is now live! 🎉 This is a great opportunity for anyone that wants to learn data science by working on a real-world problem. See this year's challenge, register, and check out the quick-start tutorials in Deepnote below👇 https://t.co/FEPSwlEVhJ",1,0,2023-01-05 20:13:46+00:00
118,"RT @AqueductHQ: Airflow was not built for data science and machine learning: 
https://t.co/91VIvkECfh https://t.co/TprXEYTik8",0,3,2023-01-05 20:13:16+00:00
119,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:12:50+00:00
120,RT @MatthewWielicki: The data is clear. There is NO evidence of a climate emergency or climate crisis. FOLLOW ME and share this post to spr…,0,2415,2023-01-05 20:12:37+00:00
121,RT @margot_jackson: Exciting new postdoc in computational social science!  Joint effort between Brown's population research center (PSTC) a…,0,16,2023-01-05 20:12:32+00:00
122,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:12:18+00:00
123,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:12:10+00:00
124,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:12:05+00:00
125,"RT @EricTopol: The hidden humanitarian Covid crisis in China
https://t.co/3ejhlzkLvv @ScienceMagazine 
https://t.co/vUaOtrxJAm @joyuwang 
@…",0,29,2023-01-05 20:11:47+00:00
126,@NassauOranje @HammettJames @joanwri16980637 @PeterDClack Science shouldn't be like religion it should be based on best theory gained from observations of data. Follow the truth wherever it may lead. Seems like the anti climate change lot treat it like it is. Find someone who gives the story you wish to here and worship their opinion.,0,0,2023-01-05 20:11:40+00:00
127,RT @csphealthcare: George Laliotis Discusses How Technology Has Impacted And Expanded The Use Of Medical Data Science https://t.co/K6WDRkIA…,0,0,2023-01-05 20:11:22+00:00
128,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:11:21+00:00
129,"RT @CenterForAstro: Have you heard of @NASA's #AstrophotoChallenge? Mary Dussault, who helps manage the challenge, speaks with @KXAN_News o…",0,3,2023-01-05 20:11:13+00:00
130,RT @iamchuckrussell: #Trending Tech News George Laliotis Discusses How Technology Has Impacted And Expanded The Use Of Medical Data Science…,0,2,2023-01-05 20:11:11+00:00
131,"RT @SciTechProf: Free link to our Science article, Borgman &amp; Brand: Data blind: Universities lag in capturing and exploiting data. https://…",0,7,2023-01-05 20:11:05+00:00
132,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:10:48+00:00
133,RT @SandiaLabs: Tracktable searches big data sets of moving objects for patterns enabling people without expertise in math or computer scie…,0,6,2023-01-05 20:10:48+00:00
134,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:10:30+00:00
135,RT @QciQuantum: #QuantumComputing will be indispensable in future space travel not just due to the potential to calculate at hundreds of mi…,0,2,2023-01-05 20:10:29+00:00
136,"@henri_mourant @JasonColavito Thats fair. He has had multiple mainstream health professionals on in the past.
Recall that science progresses through paradigm shifts when new data changes consensus and what once was called fringe &amp; quackery becomes accepted by the next generation.",0,0,2023-01-05 20:10:24+00:00
137,"RT @simardcasanova: I am many things — an economist, a data scientist, a writer

Very happy to share the website of Aléryon Science, the sm…",0,3,2023-01-05 20:10:06+00:00
138,"@JamesMelville The data has been updated since 2020. WHO and all others move with the science even if you don't.

'demonstrating that promoting community mask-wearing can improve public health'

https://t.co/v1vXG6O94I",0,0,2023-01-05 20:09:53+00:00
